username,repo_name,stars,repo_url
babel,babel,39900,https://www.github.com/babel/babel
nylas,nylas-mail,24700,https://www.github.com/nylas/nylas-mail
kriasoft,react-starter-kit,21000,https://www.github.com/kriasoft/react-starter-kit
avajs,ava,19400,https://www.github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,18500,https://www.github.com/electron-react-boilerplate/electron-react-boilerplate
swc-project,swc,17400,https://www.github.com/swc-project/swc
SimulatedGREG,electron-vue,14500,https://www.github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14000,https://www.github.com/grab/front-end-guide
jamiebuilds,babel-handbook,10500,https://www.github.com/jamiebuilds/babel-handbook
grommet,grommet,7600,https://www.github.com/grommet/grommet
developit,htm,7300,https://www.github.com/developit/htm
angular-fullstack,generator-angular-fullstack,6100,https://www.github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5400,https://www.github.com/documentationjs/documentation
insin,nwb,5400,https://www.github.com/insin/nwb
egoist,poi,5300,https://www.github.com/egoist/poi
thinkjs,thinkjs,5300,https://www.github.com/thinkjs/thinkjs
ben-rogerson,twin.macro,5000,https://www.github.com/ben-rogerson/twin.macro
babel,babel-loader,4600,https://www.github.com/babel/babel-loader
transitive-bullshit,create-react-library,4500,https://www.github.com/transitive-bullshit/create-react-library
jaredpalmer,backpack,4500,https://www.github.com/jaredpalmer/backpack
duxianwei520,react,4400,https://www.github.com/duxianwei520/react
babel,minify,4300,https://www.github.com/babel/minify
fkling,astexplorer,4300,https://www.github.com/fkling/astexplorer
tleunen,babel-plugin-module-resolver,3100,https://www.github.com/tleunen/babel-plugin-module-resolver
andywer,webpack-blocks,3000,https://www.github.com/andywer/webpack-blocks
babel,babel-eslint,3000,https://www.github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,2800,https://www.github.com/kunalkapadia/express-mongoose-es6-rest-api
uidotdev,react-course,2500,https://www.github.com/uidotdev/react-course
Atyantik,react-pwa,2400,https://www.github.com/Atyantik/react-pwa
thx,gogocode,2400,https://www.github.com/thx/gogocode
